Vlkov;37363;20;Jihočeský;České Budějovice; NE
Hradiště;33810;24;Plzeňský;Rokycany; NE
Bludov;28542;25;Středočeský;Kutná Hora; NE
Čilá;33808;25;Plzeňský;Rokycany; NE
Kuřimany;38752;26;Jihočeský;Strakonice; NE
Měkynec;38773;26;Jihočeský;Strakonice; NE
Vysoká Lhota;39501;26;Vysočina;Pelhřimov; NE
Staňkovice;41201;29;Ústecký;Litoměřice; NE
Moravecké Pavlovice;59262;29;Vysočina;Žďár nad Sázavou; NE
Šléglov;78825;29;Olomoucký;Šumperk; NE
Hvožďany;34522;31;Plzeňský;Domažlice; NE
Nemíž;25801;32;Středočeský;Benešov; NE
Rabakov;29448;33;Středočeský;Mladá Boleslav; NE
Závraty;37001;34;Jihočeský;České Budějovice; NE
Vysoká;56943;34;Pardubický;Svitavy; NE
Nová Pláň;79201;34;Moravskoslezský;Bruntál; NE
Kaničky;34543;35;Plzeňský;Domažlice; NE
Olšovice;38411;35;Jihočeský;Prachatice; NE
Hostějov;68741;35;Zlínský;Uherské Hradiště; NE
Kařízek;33808;36;Plzeňský;Rokycany; NE
Vísky;33843;36;Plzeňský;Rokycany; NE
Nasavrky;39131;36;Jihočeský;Tábor; NE
Minice;39806;36;Jihočeský;Písek; NE
Lhota u Olešnice;67974;36;Jihomoravský;Blansko; NE
Čejkovice;28565;37;Středočeský;Kutná Hora; NE
Neveklovice;29413;37;Středočeský;Mladá Boleslav; NE
Petrovičky;50774;37;Královéhradecký;Jičín; NE
Holotín;53501;37;Pardubický;Pardubice; NE
Vanůvek;58856;37;Vysočina;Jihlava; NE
Dolní Těšice;75353;37;Olomoucký;Přerov; NE
Budyně;38773;38;Jihočeský;Strakonice; NE
Řikonín;59456;38;Vysočina;Žďár nad Sázavou; NE
Ústup;67974;38;Jihomoravský;Blansko; NE
Těchařovice;26231;39;Středočeský;Příbram; NE
Dolní Hradiště;33005;39;Plzeňský;Plzeň-sever; NE
Kostelec;50731;39;Královéhradecký;Jičín; NE
Janůvky;56922;39;Pardubický;Svitavy; NE
Zálesná Zhoř;66484;39;Jihomoravský;Brno-venkov; NE
Lhotka;75124;39;Olomoucký;Přerov; NE
Slověnice;25726;40;Středočeský;Benešov; NE
Kanina;27735;40;Středočeský;Mělník; NE
Únice;38601;40;Jihočeský;Strakonice; NE
Radějovice;38752;40;Jihočeský;Strakonice; NE
Jankov;39301;40;Vysočina;Pelhřimov; NE
Slavníč;58255;40;Vysočina;Havlíčkův Brod; NE
Studená;33143;41;Plzeňský;Plzeň-sever; NE
Maňovice;34153;41;Plzeňský;Klatovy; NE
Hradiště;25801;42;Středočeský;Benešov; NE
Střítež pod Křemešníkem;39405;42;Vysočina;Pelhřimov; NE
Dobrohošť;38001;43;Jihočeský;Jindřichův Hradec; NE
Hájek;38773;43;Jihočeský;Strakonice; NE
Dílce;50601;43;Královéhradecký;Jičín; NE
Zblovice;67110;43;Jihomoravský;Znojmo; NE
Hradce;37001;44;Jihočeský;České Budějovice; NE
Zvíkov;38242;44;Jihočeský;Český Krumlov; NE
Zadní Střítež;39143;44;Jihočeský;Tábor; NE
Vlkanov;58291;44;Vysočina;Havlíčkův Brod; NE
Županovice;37873;45;Jihočeský;Jindřichův Hradec; NE
Mutkov;79357;45;Olomoucký;Olomouc; NE
Všehrdy;33141;46;Plzeňský;Plzeň-sever; NE
Bohunice;38422;46;Jihočeský;Prachatice; NE
Bělá;39403;46;Vysočina;Pelhřimov; NE
Sloupno;58301;46;Vysočina;Havlíčkův Brod; NE
Úřad vojenského újezdu Brdy;26223;47;Středočeský;Příbram; NE
Libochovičky;27342;47;Středočeský;Kladno; NE
Chlumec;38232;47;Jihočeský;Český Krumlov; NE
Chýstovice;39422;47;Vysočina;Pelhřimov; NE
Zlátenka;39501;47;Vysočina;Pelhřimov; NE
Kyje;50713;47;Královéhradecký;Jičín; NE
Okoř;25264;48;Středočeský;Praha-západ; NE
